a	ˈ aː
alfræðiriti	ˈa l f r ai ð ɪ r ˌɪ t ɪ
algarve	ˈ a l k a r v ɛ
algeng	ˈ a l c ei ŋ k
algengan	ˈ a l c ei ŋ k a n
algengar	ˈ a l c ei ŋ k a r
algengara	ˈ a l c ei ŋ k a r a
algengari	ˈ a l c ei ŋ k a r ɪ
algengast	ˈ a l c ei ŋ k a s t
algengasta	ˈ a l c ei ŋ k a s t a
algengi	ˈ a l c ei ɲ c ɪ
algengir	ˈ a l c ei ɲ c ɪ r
algengra	ˈ a l c ei ŋ k r a
algengt	ˈ a l c ei ŋ̊ t
algengum	ˈ a l c ei ŋ k ʏ m
algengur	ˈ a l c ei ŋ k ʏ r
algengust	ˈ a l c ei ŋ k ʏ s t
alger	ˈ a l c ɛ r
algera	ˈ a l c ɛ r a
algerlega	ˈ a l c ɛ r l ˌ ɛ ɣ a
algerrar	ˈ a l c ɛ r a r
algerri	ˈ a l c ɛ r ɪ
algert	ˈ a l c ɛ r̥ t
algeru	ˈ a l c ɛ r ʏ
algjör	ˈ a l c œ r
algjöra	ˈ a l c œ r a
algjöran	ˈ a l c œ r a n
algjörlega	ˈ a l c œ r l ˌ ɛ ɣ a
algjörri	ˈ a l c œ r ɪ
algjört	ˈ a l c œ r̥ t
algjöru	ˈ a l c œ r ʏ
algjörum	ˈ a l c œ r ʏ m
alheimsins	ˈ aː l h ei m s ɪ n s
alheimur	ˈ a l h ei m ʏ r
alhliða	ˈ aː l̥ ɪ ð a
alhug	ˈ aː l h ʏ ɣ
ali	ˈ aː l ɪ
alice	ˈ aː l ɪ s
aliexpress	ˈ aː l i j ɛ k s p r ɛ s
alin	ˈ aː l ɪ n
alinn	ˈ aː l ɪ n
alist	ˈ aː l ɪ s t
alið	ˈ aː l ɪ ð
alkalírafhlöður	ˈa l̥ k a l i r ˌa v l̥ œ ð ʏ r
alkominn	ˈa l kʰ ɔ m ɪ n
alkunna	ˈ a l kʰ ʏ n a
alkunnu	ˈ a l kʰ ʏ n ʏ
alkóa	ˈa l̥ k ou a
alkóhólista	ˈ a l̥ k ou h ou l ɪ s t a
all	ˈ a t l̥
alla	ˈ a t l a
allaballa	ˈa l a p ˌa l a
allaballanna	ˈa l a p ˌa l a n a
allaballar	ˈa l a p ˌa t l a r
allaballarnir	ˈa l a p ˌa t l a r t n ɪ r
allaballi	ˈa l a p ˌa l ɪ
allaballinn	ˈa l a p a l ɪ n
allaböllum	ˈa l a p ˌœ l ʏ m
allan	ˈ a t l a n
allar	ˈ a t l a r
allavega	ˈ a t l a v ˌ ɛ ɣ a
allavegana	ˈ a t l a v ɛ ɣ a n a
allegóría	ˈ a l ɛ ɣ ou r i a
allegórían	ˈa l ɛ k ou r i a n
allegóríu	ˈa l ɛ k ou r i j ʏ
allegóríur	ˈa l ɛ k ou r i j ʏ r
allen	ˈ a l ɛ n
alles	ˈ a l ɛ s
allflóknu	ˈa t l̥ f l ou h k n ʏ
allforhertur	ˈa t l̥ f ɔ r̥ h ɛ r̥ t ʏ r
allgemeine	ˈ a l k ɛ m ai n ɛ
allgóður	ˈ a t l̥ k ou ð ʏ r
allhressilega	ˈ a t l̥ r̥ ɛ s ɪ l ɛ ɣ a
alli	ˈ a l ɪ
allir	ˈ a t l ɪ r
alllangt	ˈ a t l au ŋ̊ t
alllengi	ˈ a t l ei ɲ c ɪ
allmargar	ˈ a t l m a r k a r
allmargir	ˈ a t l m a r c ɪ r
allmargur	ˈa t l m a r k ʏ r
allmikið	ˈ a t l m ɪ c ɪ ð
allmiklu	ˈ a t l m ɪ h k l ʏ
allmörg	ˈ a t l m œ r k
allmörgum	ˈ a t l m œ r k ʏ m
allnokkra	ˈ a t l n ɔ h k r a
allnokkrar	ˈ a t l n ɔ h k r a r
allnokkrum	ˈ a t l n ɔ h k r ʏ m
allnokkur	ˈ a t l n ɔ h k ʏ r
allnokkuð	ˈ a t l n ɔ h k ʏ ð
alloft	ˈ a t l ɔ f t
allra	ˈ a t l r a
allrar	ˈ a t l r a r
allri	ˈ a t l r ɪ
alls	ˈ a l s
allsber	ˈ a l s p ɛ r
allsberir	ˈ a l s p ɛ r ɪ r
allsendis	ˈ a l s ɛ n t ɪ s
allsherjar	ˈ a l s h ɛ r j a r
allsherjarnefnd	ˈ a l s h ɛ r j a r n ˌ ɛ m t
allsherjarnefndar	ˈ a l s h ɛ r j a r n ˌ ɛ m t a r
allsherjarnefndin	ˈa l s h ɛ r j a r n ˌɛ m t ɪ n
allsherjarsál	ˈa l s h ɛ r j a r s ˌau l
allsherjartákn	ˈa l s h ɛ r j a r tʰ ˌau h k n̥
allsherjarþingi	ˈ a l s h ɛ r j a r θ ˌ i ɲ c ɪ
allsherjarþinginu	ˈ a l s h ɛ r j a r θ ˌ i ɲ c ɪ n ʏ
allskonar	ˈ a l s kʰ ɔ n a r
allskostar	ˈ a l s kʰ ɔ s t a r
allskyns	ˈ a l s cʰ ɪ n s
allsráðandi	ˈ a l s r au ð a n t ɪ
allsstaðar	ˈ a l s s t a ð a r
allstaðar	ˈ a l s t a ð a r
allstóran	ˈ a t l̥ s t ou r a n
allstórir	ˈa t l̥ s t ou r ɪ r
allt	ˈ a l̥ t
alltaf	ˈ a l̥ t a f
alltof	ˈ a l̥ t ɔ f
alltsvo	ˈa l̥ t s v ɔ
alltumlykjandi	ˈ a l̥ t ʏ m l ɪ c a n t ɪ
alltént	ˈ a l̥ tʰ j ɛ n̥ t
allur	ˈ a t l ʏ r
allverulega	ˈ a t l v ɛ r ʏ l ɛ ɣ a
allverulegt	ˈa t l v ɛ r ʏ l ɛ x t
allýjar	ˈa l i j a r
alma	ˈ a l m a
almannafæri	ˈ a l m a n a f ˌ ai r ɪ
almannafé	ˈ a l m a n a f j ɛ
almannahagsmuna	ˈ a l m a n a h ˌ a x s m ʏ n a
almannahagsmuni	ˈ a l m a n a h ˌ a x s m ʏ n ɪ
almannahagsmunir	ˈ a l m a n a h ˌ a x s m ʏ n ɪ r
almannahagsmunum	ˈ a l m a n a h ˌ a x s m ʏ n ʏ m
almannaheilla	ˈ a l m a n a h ˌ ei t l a
almannakambs	ˈa l m a n a kʰ a m p s
almannaskarð	ˈ a l m a n a s k ˌ a r ð
almannatenglar	ˈ a l m a n a tʰ ˌ ei ŋ l a r
almannatrygginga	ˈ a l m a n a tʰ r ˌ ɪ c i ŋ k a
almannatryggingakerfinu	ˈ a l m a n a tʰ r ˌ ɪ c i ŋ k a cʰ ˌ ɛ r v ɪ n ʏ
almannatryggingar	ˈ a l m a n a tʰ r ˌ ɪ c i ŋ k a r
almannatryggingum	ˈ a l m a n a tʰ r ˌ ɪ c i ŋ k ʏ m
almannavarna	ˈ a l m a n a v ˌ a r t n a
almannavarnir	ˈ a l m a n a v ˌ a r t n ɪ r
almannavörnum	ˈ a l m a n a v ˌ œ r t n ʏ m
almannaþjónustu	ˈ a l m a n a θ j ˌ ou n ʏ s t ʏ
almannaþágu	ˈ a l m a n a θ ˌ au ɣ ʏ
almar	ˈ a l m a r
almarr	ˈ a l m a r
almenn	ˈ a l m ɛ n
almenna	ˈ a l m ɛ n a
almennan	ˈ a l m ɛ n a n
almennar	ˈ a l m ɛ n a r
almenni	ˈ a l m ɛ n ɪ
almennileg	ˈ a l m ɛ n ɪ l ɛ ɣ
almennilega	ˈ a l m ɛ n ɪ l ˌ ɛ ɣ a
almennilegt	ˈ a l m ɛ n ɪ l ɛ x t
almennilegur	ˈ a l m ɛ n ɪ l ˌ ɛ ɣ ʏ r
almenning	ˈ a l m ɛ n i ŋ k
almenningi	ˈ a l m ɛ n i ɲ c ɪ
almenninginn	ˈa l m ɛ n i ɲ c ɪ n
almenningnum	ˈ a l m ɛ n i ŋ n ʏ m
almennings	ˈ a l m ɛ n i ŋ s
almenningsbókasöfn	ˈ a l m ɛ n i ŋ s p ˌ ou k a s œ p n̥
almenningshlaupa	ˈa l m ɛ n i ŋ s l̥ ˌœy p a
almenningssamgangna	ˈ a l m ɛ n i ŋ s s ˌ a m k au ŋ n a
almenningssamgöngum	ˈ a l m ɛ n i ŋ s s ˌ a m k œy ŋ k ʏ m
almenningssamgöngur	ˈ a l m ɛ n i ŋ s s ˌ a m k œy ŋ k ʏ r
almenningstindur	ˈa l m ɛ n i ŋ s tʰ ˌɪ n t ʏ r
almenningsálitið	ˈ a l m ɛ n i ŋ s ˌ au l ɪ t ɪ ð
almenningur	ˈ a l m ɛ n i ŋ k ʏ r
almennir	ˈ a l m ɛ n ɪ r
almennra	ˈ a l m ɛ n r a
almennrar	ˈ a l m ɛ n r a r
almennri	ˈ a l m ɛ n r ɪ
almenns	ˈ a l m ɛ n s
almennt	ˈ a l m ɛ n̥ t
almennu	ˈ a l m ɛ n ʏ
almennum	ˈ a l m ɛ n ʏ m
almennur	ˈ a l m ɛ n ʏ r
almost	ˈ ɔ l m ou s t
almáttugan	ˈ a l m au h t ʏ ɣ a n
alnæmi	ˈ a l n ai m ɪ
alonso	ˈ a l ɔ n s ɔ
alpagreinar	ˈ a l̥ p a k r ˌ ei n a r
alpaka	ˈa l pʰ a k a
alpaklúbburinn	ˈa l̥ p a kʰ l u p ʏ r ɪ n
alrangt	ˈ a l r au ŋ̊ t
alríkislögreglan	ˈ a l r i c ɪ s l ˌ œ ɣ r ɛ k l a n
alríkislögreglunnar	ˈ a l r i c ɪ s l ˌ œ ɣ r ɛ k l ʏ n a r
als	ˈ a l s
alsett	ˈ a l s ɛ h t
also	ˈ ɔ l s ou
alsoddi	ˈa l s ɔ t ɪ
alsír	ˈ a l s i r
alt	ˈ a l̥ t
altari	ˈ a l̥ t a r ɪ
altarisganga	ˈ a l̥ t a r ɪ s k ˌ au ŋ k a
altarisgöngu	ˈ a l̥ t a r ɪ s k ˌ œy ŋ k ʏ
altarissakramentinu	ˈa l̥ t a r ɪ s a k r a m ɛ n̥ t ɪ n ʏ
altarissakramentið	ˈa l̥ t a r ɪ s a k r a m ɛ n̥ t ɪ ð
altarissveinn	ˈa l̥ t a r ɪ s s v ˌei t n̥
altaristöfluna	ˈ a l̥ t a r ɪ s tʰ ˌ œ p l ʏ n a
altekinn	ˈa l tʰ ɛ c ɪ n
altsvo	ˈa l̥ t s v ɔ
alusuisse	ˈ aː l u s v ɪ s
alvara	ˈ a l v a r a
alvarleg	ˈ a l v a r l ɛ ɣ
alvarlega	ˈ a l v a r l ˌ ɛ ɣ a
alvarlegan	ˈ a l v a r l ˌ ɛ ɣ a n
alvarlegar	ˈ a l v a r l ɛ ɣ a r
alvarlegasta	ˈ a l v a r l ɛ ɣ a s t a
alvarlegir	ˈ a l v a r l ˌ ei j ɪ r
alvarlegra	ˈ a l v a r l ɛ ɣ r a
alvarlegrar	ˈ a l v a r l ɛ ɣ r a r
alvarlegri	ˈ a l v a r l ɛ ɣ r ɪ
alvarlegs	ˈ a l v a r l ˌ ɛ x s
alvarlegt	ˈ a l v a r l ɛ x t
alvarlegu	ˈ a l v a r l ˌ ɛ ɣ ʏ
alvarlegum	ˈ a l v a r l ˌ ɛ ɣ ʏ m
alvarlegur	ˈ a l v a r l ˌ ɛ ɣ ʏ r
alvarlegustu	ˈ a l v a r l ɛ ɣ ʏ s t ʏ
alvarleika	ˈ a l v a r l ˌ ei k a
alvaro	ˈ a l v a r ou
alveg	ˈ a l v ɛ ɣ
alversta	ˈ a l v ɛ r̥ s t a
alves	ˈ a l v ɛ s
alvitur	ˈ a l v ɪ t ʏ r
alvogen	ˈ a l v ɔ k ɛ n
alvöru	ˈ a l v œ r ʏ
alvörugefni	ˈa l v œ r ʏ c ˌɛ p n ɪ
alvörunni	ˈ a l v œ r ʏ n ɪ
alvörupabba	ˈa l v œ r ʏ pʰ ˌa p a
alvörusvip	ˈa l v œ r ʏ s v ˌɪ p
always	ˈ ɔ l v ei s
alzheimer	ˈ a l s h ai m ɛ r
alúð	ˈ aː l u ð
alúðlega	ˈaː l u ð l ˌɛ ɣ a
alþekkt	ˈ a l θ ɛ x t
alþingi	ˈ a l θ i ɲ c ɪ
alþingis	ˈ a l θ i ɲ c ɪ s
alþingishúsinu	ˈ a l θ i ɲ c ɪ s h ˌ u s ɪ n ʏ
alþingishúsið	ˈ a l θ i ɲ c ɪ s h ˌ u s ɪ ð
alþingiskosninga	ˈ a l θ i ɲ c ɪ s kʰ ˌ ɔ s t n i ŋ k a
alþingiskosningar	ˈ a l θ i ɲ c ɪ s kʰ ˌ ɔ s t n i ŋ k a r
alþingiskosningarnar	ˈ a l θ i ɲ c ɪ s kʰ ˌ ɔ s t n i ŋ k a r t n a r
alþingiskosningum	ˈ a l θ i ɲ c ɪ s kʰ ˌ ɔ s t n i ŋ k ʏ m
alþingiskosningunum	ˈ a l θ i ɲ c ɪ s kʰ ˌ ɔ s t n i ŋ k ɔ n ʏ m
alþingismanna	ˈ a l θ i ɲ c ɪ s m ˌ a n a
alþingismanns	ˈ a l θ i ɲ c ɪ s m ˌ a n s
alþingismaður	ˈ a l θ i ɲ c ɪ s m ˌ a ð ʏ r
alþingismenn	ˈ a l θ i ɲ c ɪ s m ˌ ɛ n
alþingismönnum	ˈ a l θ i ɲ c ɪ s m ˌ œ n ʏ m
alþjóð	ˈ a l θ j ou ð
alþjóða	ˈ a l θ j ou ð a
alþjóðabankans	ˈ a l θ j ou ð a p ˌ au ŋ̊ k a n s
alþjóðabankinn	ˈ a l θ j ou ð a p ˌ au ɲ̊ c ɪ n
alþjóðagjaldeyrissjóðinn	ˈ a l θ j ou ð a c a l t ei r ɪ s s j ou ð ɪ n
alþjóðagjaldeyrissjóðnum	ˈ a l θ j ou ð a c a l t ei r ɪ s s j ou ð n ʏ m
alþjóðagjaldeyrissjóðsins	ˈ a l θ j ou ð a c a l t ei r ɪ s s j ou ð s ɪ n s
alþjóðagjaldeyrissjóðurinn	ˈ a l θ j ou ð a c a l t ei r ɪ s s j ou ð ʏ r ɪ n
alþjóðalög	ˈ a l θ j ou ð a l ˌ œ ɣ
alþjóðalögum	ˈ a l θ j ou ð a l ˌ œ ɣ ʏ m
alþjóðamarkaði	ˈ a l θ j ou ð a m ˌ a r̥ k a ð ɪ
alþjóðamálum	ˈ a l θ j ou ð a m ˌ au l ʏ m
alþjóðasamfélaginu	ˈ a l θ j ou ð a s ˌ a m f j ɛ l ai j ɪ n ʏ
alþjóðasamfélagið	ˈ a l θ j ou ð a s ˌ a m f j ɛ l ai j ɪ ð
alþjóðasamfélagsins	ˈ a l θ j ou ð a s ˌ a m f j ɛ l a x s ɪ n s
alþjóðasamninga	ˈ a l θ j ou ð a s ˌ a m n i ŋ k a
alþjóðastofnana	ˈ a l θ j ou ð a s t ˌ ɔ p n a n a
alþjóðasveitanna	ˈa l θ j ou ð a s v ˌei t a n a
alþjóðasveitirnar	ˈa l θ j ou ð a s v ˌei t ɪ r t n a r
alþjóðasveitunum	ˈa l θ j ou ð a s v ˌei t ɔ n ʏ m
alþjóðavettvangi	ˈ a l θ j ou ð a v ˌ ɛ h t v au ɲ c ɪ
alþjóðaviðskiptum	ˈ a l θ j ou ð a v ˌ ɪ ð s c ɪ f t ʏ m
alþjóðavæðingar	ˈ a l θ j ou ð a v ˌ ai ð i ŋ k a r
alþjóðavísu	ˈ a l θ j ou ð a v ˌ i s ʏ
alþjóðleg	ˈ a l θ j ou ð l ɛ ɣ
alþjóðlega	ˈ a l θ j ou ð l ˌ ɛ ɣ a
alþjóðlegan	ˈ a l θ j ou ð l ˌ ɛ ɣ a n
alþjóðlegar	ˈ a l θ j ou ð l ɛ ɣ a r
alþjóðlegi	ˈ a l θ j ou ð l ˌ ei j ɪ
alþjóðlegir	ˈ a l θ j ou ð l ˌ ei j ɪ r
alþjóðlegra	ˈ a l θ j ou ð l ɛ ɣ r a
alþjóðlegrar	ˈ a l θ j ou ð l ɛ ɣ r a r
alþjóðlegri	ˈ a l θ j ou ð l ɛ ɣ r ɪ
alþjóðlegs	ˈ a l θ j ou ð l ˌ ɛ x s
alþjóðlegt	ˈ a l θ j ou ð l ɛ x t
alþjóðlegu	ˈ a l θ j ou ð l ˌ ɛ ɣ ʏ
alþjóðlegum	ˈ a l θ j ou ð l ˌ ɛ ɣ ʏ m
alþjóðlegur	ˈ a l θ j ou ð l ˌ ɛ ɣ ʏ r
alþýða	ˈ a l θ i ð a
alþýðu	ˈ a l θ i ð ʏ
alþýðubandalaginu	ˈ a l θ i ð ʏ p ˌ a n t a l ˌ ai j ɪ n ʏ
alþýðubandalagið	ˈ a l θ i ð ʏ p ˌ a n t a l ai j ɪ ð
alþýðubandalagsins	ˈ a l θ i ð ʏ p ˌ a n t a l a x s ɪ n s
alþýðuflokksins	ˈ a l θ i ð ʏ f l ˌ ɔ h k s ɪ n s
alþýðuflokkurinn	ˈ a l θ i ð ʏ f l ɔ h k ʏ r ɪ n
alþýðufylkingarinnar	ˈ a l θ i ð ʏ f ˌ ɪ l̥ c i ŋ k a r ɪ n a r
alþýðunnar	ˈ a l θ i ð ʏ n a r
alþýðusamband	ˈ a l θ i ð ʏ s ˌ a m p a n t
alþýðusambandi	ˈ a l θ i ð ʏ s ˌ a m p a n t ɪ
alþýðusambandið	ˈ a l θ i ð ʏ s ˌ a m p a n t ɪ ð
alþýðusambands	ˈ a l θ i ð ʏ s ˌ a m p a n t s
alþýðusambandsins	ˈ a l θ i ð ʏ s ˌ a m p a n t s ɪ n s
am	ˈ aː m
ama	ˈ aː m a
amanda	ˈ aː m a n t a
amast	ˈ aː m a s t
amazon	ˈ aː m a s ɔ n
ambient	ˈ a m p i ɛ n̥ t
ameríkaninn	ˈ aː m ɛ r i kʰ a n ɪ n
ameríku	ˈ aː m ɛ r i k ʏ
ameríska	ˈ aː m ɛ r i s k a
amerísku	ˈ aː m ɛ r i s k ʏ
amerískum	ˈ aː m ɛ r i s k ʏ m
amerískur	ˈ aː m ɛ r i s k ʏ r
amfetamín	ˈ a m f ɛ t a m i n
amfetamíni	ˈ a m f ɛ t a m i n ɪ
amfetamínneytendur	ˈa m f ɛ t a m i n n ˌei t ɛ n t ʏ r
amfetamíns	ˈ a m f ɛ t a m i n s
amma	ˈ a m a
amman	ˈ a m a n
amnesty	ˈ a m n ɛ s t i
amper	ˈa m̥ p ɛ r
amsterdam	ˈ a m s t ɛ r t a m
amstri	ˈ a m s t r ɪ
amtbókasafninu	ˈa m̥ t p ou k a s ˌa p n ɪ n ʏ
amtmanni	ˈ a m̥ t m a n ɪ
amtmaður	ˈ a m̥ t m a ð ʏ r
amtsbókasafnið	ˈ a m̥ t s p ou k a s ˌ a p n ɪ ð
amy	ˈ eiː m i
ana	ˈ aː n a
ananas	ˈ aː n a n a s
anand	ˈ aː n a n t
and	ˈ a n t
anda	ˈ a n t a
andagift	ˈ a n t a c ˌ ɪ f t
andakt	ˈ a n t a x t
andaktugur	ˈa n t a x t ʏ ɣ ʏ r
andann	ˈ a n t a n
andans	ˈ aː n t a n s
andanum	ˈ a n t a n ʏ m
andapollinn	ˈa n t a pʰ ˌɔ l ɪ n
andar	ˈ a n t a r
andarslitrunum	ˈ a n t a r s t l ɪ t r ʏ n ʏ m
andartak	ˈ a n t a r tʰ ˌ a k
andartaki	ˈ a n t a r tʰ ˌ a c ɪ
andartakið	ˈ a n t a r tʰ ˌ a c ɪ ð
andartaksins	ˈa n t a r tʰ ˌa k s ɪ n s
andartaksstund	ˈa n t a r̥ tʰ a k s t ʏ n t
andartökum	ˈ a n t a r tʰ ˌ œ k ʏ m
andarunga	ˈ a n t a r ˌ u ŋ k a
andarungi	ˈa n t a r ˌu ɲ c ɪ
andavatn	ˈa n t a v ˌa h t n̥
andað	ˈ a n t a ð
andaðist	ˈ a n t a ð ɪ s t
anddyri	ˈ a n t ɪ r ɪ
anders	ˈ a n t ɛ r̥ s
andersen	ˈ a n t ɛ r̥ s ɛ n
anderson	ˈ a n t ɛ r̥ s ɔ n
andersson	ˈ a n t ɛ r̥ s s ˌ ɔ n
andesfjöllin	ˈ a n t ɛ s f j œ t l ɪ n
andfélagslega	ˈ a n t f j ɛ l a x s l ˌ ɛ ɣ a
andi	ˈ a n t ɪ
andinn	ˈ a n t ɪ n
andleg	ˈ a n t l ɛ ɣ
andlega	ˈ a n t l ɛ ɣ a
andlegan	ˈ a n t l ɛ ɣ a n
andlegra	ˈ a n t l ɛ ɣ r a
andlegri	ˈ a n t l ɛ ɣ r ɪ
andlegt	ˈ a n t l ɛ x t
andlegu	ˈ a n t l ɛ ɣ ʏ
andlegum	ˈ a n t l ɛ ɣ ʏ m
andlegur	ˈ a n t l ɛ ɣ ʏ r
andlit	ˈ a n t l ɪ t
andliti	ˈ a n t l ɪ t ɪ
andlitinu	ˈ a n t l ɪ t ɪ n ʏ
andlitið	ˈ a n t l ɪ t ɪ ð
andlitslyftingu	ˈ a n t l ɪ t s l ˌ ɪ f t i ŋ k ʏ
andlitslyftur	ˈa n t l ɪ t s l ˌɪ f t ʏ r
andlitssnyrtingu	ˈa n t l ɪ t s s t n ɪ r̥ t i ŋ k ʏ
andlitssvip	ˈa n t l ɪ t s s v ˌɪ p
andlát	ˈ a n t l au t
andláti	ˈ a n t l au t ɪ
andlátið	ˈ a n t l au t ɪ ð
andláts	ˈ a n t l au t s
andmæla	ˈ a n t m ai l a
andmæli	ˈ a n t m ai l ɪ
andmælt	ˈ a n t m ai l̥ t
andmælum	ˈ a n t m ai l ʏ m
andorra	ˈ a n t ɔ r a
andra	ˈ a n t r a
andre	ˈ a n t r ɛ
andrea	ˈ a n t r ɛ a
andreas	ˈ a n t r ɛ a s
andrei	ˈ a n t r ei
andres	ˈ a n t r ɛ s
andreu	ˈ a n t r ɛ ʏ
andrew	ˈ a n t r u
andrews	ˈ a n t r j u s
andri	ˈ a n t r ɪ
andriy	ˈ a n t r i
android	ˈ a n t r ɔi t
andrá	ˈ a n t r au
andré	ˈ a n t r ei
andrés	ˈ a n t r j ɛ s
andrésar	ˈ a n t r j ɛ s a r
andrésdóttir	ˈ a n t r j ɛ s t ˌ ou h t ɪ r
andrési	ˈ a n t r j ɛ s ɪ
andrésson	ˈ a n t r j ɛ s s ˌ ɔ n
andrógen	ˈa n t r ou c ɛ n
andrúmsloft	ˈ a n t r u m s l ˌ ɔ f t
andrúmslofti	ˈ a n t r u m s l ˌ ɔ f t ɪ
andrúmsloftinu	ˈ a n t r u m s l ˌ ɔ f t ɪ n ʏ
andrúmsloftið	ˈ a n t r u m s l ˌ ɔ f t ɪ ð
andskota	ˈ a n t s k ɔ t a
andskotann	ˈ a n t s k ɔ t a n
andskoti	ˈ a n t s k ɔ t ɪ
andskotinn	ˈ a n t s k ɔ t ɪ n
andskáldsöguna	ˈa n t s k au l t s œ ɣ ʏ n a
andsnúinn	ˈ a n t s t n u ɪ n
andsnúnir	ˈ a n t s t n u n ɪ r
andspænis	ˈ a n t s p ai n ɪ s
andstaða	ˈ a n t s t a ð a
andstaðan	ˈ a n t s t a ð a n
andstreymi	ˈ a n t s t r ei m ɪ
andstyggilega	ˈ a n t s t ɪ c ɪ l ˌ ɛ ɣ a
andstyggilegt	ˈ a n t s t ɪ c ɪ l ɛ x t
andstyggilegur	ˈ a n t s t ɪ c ɪ l ˌ ɛ ɣ ʏ r
andstyggð	ˈ a n t s t ɪ ɣ ð
andstyggðar	ˈa n t s t ɪ ɣ ð a r
andstætt	ˈ a n t s t ai h t
andstæð	ˈ a n t s t ai ð
andstæða	ˈ a n t s t ai ð a
andstæðing	ˈ a n t s t ai ð i ŋ k
andstæðinga	ˈ a n t s t ai ð i ŋ k a
andstæðinganna	ˈ a n t s t ai ð i ŋ k a n a
andstæðingar	ˈ a n t s t ai ð i ŋ k a r
andstæðingarnir	ˈ a n t s t ai ð i ŋ k a r t n ɪ r
andstæðingi	ˈ a n t s t ai ð i ɲ c ɪ
andstæðinginn	ˈ a n t s t ai ð i ɲ c ɪ n
andstæðingum	ˈ a n t s t ai ð i ŋ k ʏ m
andstæðingur	ˈ a n t s t ai ð i ŋ k ʏ r
andstæðingurinn	ˈ a n t s t ai ð i ŋ k ʏ r ɪ n
andstæðir	ˈ a n t s t ai ð ɪ r
andstæðu	ˈ a n t s t ai ð ʏ
andstæður	ˈ a n t s t ai ð ʏ r
andstöðu	ˈ a n t s t œ ð ʏ
andstöðuflokkur	ˈa n t s t œ ð ʏ f l ˌɔ h k ʏ r
andsvar	ˈ a n t s v a r
andsvara	ˈ a n t s v a r a
andsvari	ˈ a n t s v a r ɪ
andsvarið	ˈa n t s v a r ɪ ð
andsvör	ˈ a n t s v œ r
andsvörum	ˈ a n t s v œ r ʏ m
andvaka	ˈ a n t v a k a
andvana	ˈ a n t v a n a
andvari	ˈ a n t v a r ɪ
andvarp	ˈ a n t v a r̥ p
andvarpandi	ˈa n t v a r̥ p a n t ɪ
andvarpaði	ˈ a n t v a r̥ p a ð ɪ
andvarpi	ˈa n t v a r̥ p ɪ
andvirði	ˈ a n t v ɪ r ð ɪ
andvíg	ˈ a n t v i ɣ
andvígir	ˈ a n t v i j ɪ r
andvígur	ˈ a n t v i ɣ ʏ r
andvörpum	ˈa n t v œ r̥ p ʏ m
andy	ˈ a n t i
andúð	ˈ a n t u ð
anelka	ˈ a n ɛ l̥ k a
anfield	ˈ a n f i l t
ang	ˈ au ŋ k
anga	ˈ au ŋ k a
angan	ˈ au ŋ k a n
angandi	ˈ au ŋ k a n t ɪ
angar	ˈ au ŋ k a r
angel	ˈ ei ɲ c ɛ l
angela	ˈ a ɲ c ɛ l a
angeles	ˈ a n t j ɛ l ɛ s
angels	ˈ ei n t j ɛ l s
angelu	ˈ a ɲ c ɛ l ʏ
angi	ˈ au ɲ c ɪ
anginn	ˈ au ɲ c ɪ n
angistarfull	ˈau ɲ c ɪ s t a r f ˌʏ t l̥
angra	ˈ au ŋ k r a
angrandi	ˈaː n k r a n t ɪ
angrar	ˈ au ŋ k r a r
angrað	ˈ au ŋ k r a ð
angraði	ˈ au ŋ k r a ð ɪ
angraðir	ˈau ŋ k r a ð ɪ r
angri	ˈ au ŋ k r ɪ
angrið	ˈaː n k r ɪ ð
angur	ˈau ŋ k ʏ r
angurfull	ˈau ŋ k ʏ r f ˌʏ t l̥
angurvært	ˈ au ŋ k ʏ r v ˌ ai r̥ t
angóla	ˈ a ŋ k ou l a
angólsk	ˈa ŋ k ou l s k
angólskir	ˈa ŋ k ou l s c ɪ r
angólskt	ˈa ŋ k ou l s t
angólsku	ˈa ŋ k ou l s k ʏ
angóraull	ˈa ŋ k ou r a ʏ t l̥
angóraullar	ˈa ŋ k ou r a ʏ t l a r
angóraullarinnar	ˈa ŋ k ou r a ʏ t l a r ɪ n a r
angóraullin	ˈa ŋ k ou r a ʏ t l ɪ n
angóraullina	ˈa ŋ k ou r a ʏ t l ɪ n a
angóraullinni	ˈa ŋ k ou r a ʏ t l ɪ n ɪ
angóruull	ˈa ŋ k ou r ʏ ʏ t l
anhydrít	ˈa n h i t r i t
anhýdríti	ˈa n h i t r i t ɪ
anhýdríð	ˈa n h i t r i ð
anhýdríðum	ˈa n h i t r i ð ʏ m
animal	ˈ aː n ɪ m a l
animals	ˈ aː n ɪ m a l s
aniston	ˈ aː n ɪ s t ɔ n
anita	ˈ aː n i t a
ankara	ˈ aː n kʰ a r a
ann	ˈ a n
anna	ˈ a n a
annan	ˈ a n a n
annar	ˈ a n a r
annara	ˈ a n a r a
annari	ˈ a n a r ɪ
annarlega	ˈ a n a r l ˌ ɛ ɣ a
annarlegri	ˈ a n a r l ɛ ɣ r ɪ
annarlegu	ˈ a n a r l ˌ ɛ ɣ ʏ
annarra	ˈ a n a r a
annarrar	ˈ a n a r a r
annarri	ˈ a n a r ɪ
annars	ˈ a n a r̥ s
annarskonar	ˈ a n a r̥ s kʰ ˌ ɔ n a r
