aaron	a: r O n
atvinnuleysisbætur	a: t v I n Y l ei s I s p ai t Y r
atvinnuleysisbæturnar	a: t v I n Y l ei s I s p ai t Y r t n a r
atvinnuleysisbótum	a: t v I n Y l ei s I s p ou t Y m
atvinnuleysið	a: t v I n Y l ei s I D
atvinnulífi	a: t v I n Y l i v I
atvinnulífinu	a: t v I n Y l i v I n Y
atvinnulífið	a: t v I n Y l i v I D
atvinnulífs	a: t v I n Y l i f s
atvinnulífsins	a: t v I n Y l i f s I n s
atvinnumanna	a: t v I n Y m a n a
atvinnumaður	a: t v I n Y m a D Y r
atvinnumennsku	a: t v I n Y m E n s k Y
atvinnumál	a: t v I n Y m au l
atvinnumálaráð	a: t v I n Y m au l a r au D
atvinnumálaskrifstofu	a: t v I n Y m au l a s k r I f s t O v Y
atvinnumálum	a: t v I n Y m au l Y m
atvinnurekanda	a: t v I n Y r E k a n t a
atvinnurekandann	a: t v I n Y r E k a n t a n
atvinnurekandi	a: t v I n Y r E k a n t I
atvinnurekenda	a: t v I n Y r E k E n t a
atvinnurekendur	a: t v I n Y r E k E n t Y r
atvinnurekstrar	a: t v I n Y r E k s t r a r
atvinnurekstri	a: t v I n Y r E k s t r I
atvinnurekstur	a: t v I n Y r E k s t Y r
atvinnuráðgjafi	a: t v I n Y r au D c a v I
atvinnuréttindi	a: t v I n Y r j E h t I n t I
atvinnuskráagerð	a: t v I n Y s k r au a c E r D
atvinnuskyni	a: t v I n Y s c I n I
atvinnustarfsemi	a: t v I n Y s t a r f s E m I
atvinnustefnu	a: t v I n Y s t E p n Y
atvinnustig	a: t v I n Y s t I G
atvinnusvæði	a: t v I n Y s v ai D I
atvinnutækifæri	a: t v I n Y t_h ai c I f ai r I
atvinnuuppbyggingu	a: t v I n Y h p I c i N k Y
atvinnuástand	a: t v I n Y au s t a n t
atvinnuþátttöku	a: t v I n Y T au h t_h 9 k Y
audi	au: t i
auga	9i: G a
augabragði	9i: G a p r a G D I
augabrún	9i: G a p r u n
augabrýnnar	9i: G a p r i t n a r
augað	9i G a D
augljós	9i G l j ou s
augljóslega	9i G l j ou s t l E G a
augljóst	9i G l j ou s t
auglýsa	9i G l i s a
auglýsing	9i G l i s i N k
auglýsingaskilti	9i G l i s i N k a s c I l_0 t I
auglýsingastofa	9i G l i s i N k a s t O v a
auglýsingastofur	9i G l i s i N k a s t O v Y r
auglýst	9i G l i s t
augnablik	9i k n a p l I k
augnablikinu	9i k n a p l I c I n Y
augnakrókunum	9i k n a k_h r ou k O n Y m
augnatillit	9i k n a t_h I l I t
augnbotna	9i k n_0 p O h t n a
augndeild	9i k n_0 t ei l t
augnhár	9i k n h au r
augnkrem	9i k n_0 k_h r E m
augnkremið	9i k n_0 k_h r E m I D
augnlok	9i k n l O k
augnsambandi	9i k n_0 s a m p a n t I
augnskugga	9i k n_0 s k Y k a
augnskuggabox	9i k n_0 s k Y k a p O k s
augntóttunum	9i k n t ou h t O n Y m
augu	9i: G Y
augum	9i: G Y m
augunum	9i: G O n Y m
auk	9i: k
auka	9i: k a
aukahlutverk	9i: k a l_0 Y t v E r_0 k
aukahlutverki	9i: k a l_0 Y t v E r_0 c I
aukalega	9i: k a l E G a
aukasnertingu	9i: k a s t n E r_0 t i N k Y
aukast	9i: k a s t
aukaverkefna	9i: k a v E r_0 k E p n a
auki	9i: c I
aukin	9i: c I n
aukinna	9i c I n a
aukist	9i: c I s t
aukið	9i: c I D
aukna	9i h k n a
auknar	9i h k n a r
aukning	9i h k n i N k
aukningin	9i h k n i J c I n
aukningu	9i h k n i N k Y
auknu	9i h k n Y
auknum	9i h k n Y m
auli	9i: l I
aumingi	9i: m i J c I
aumingja	9i: m i J c a
aumingjann	9i: m i J c a n
aumingjarnir	9i: m i J c a t n I r
aumingjaskap	9i: m i J c a s k a p
aumkunarvert	9i m_0 k Y n a r v E r_0 t
aumkunarverða	9i m_0 k Y n a r v E r D a
aumt	9i m_0 t
aur	9i: r
ausa	9i: s a
austanlands	9i s t a n l a n t s
austantjaldslöndum	9i s t a n t_h j a l t s t l 9 n t Y m
austanvert	9i s t a n v E r_0 t
austfirðinga	9i s t f I r D i N k a
austfirðingum	9i s t f I r D i N k Y m
austfjörðum	9i s t f j 9 r D Y m
austri	9i s t r I
austur	9i s t Y r
austuramti	9i s t Y r a m_0 t I
austurbæjarskóla	9i s t Y r p ai j a r s k ou l a
austurendann	9i s t Y r E n t a n
austurhluta	9i s t Y r l_0 Y t a
austurlanda	9i s t Y r l a n t a
austurlands	9i s t Y r l a n t s
austurlenska	9i s t Y r l E n s k a
austurriðils	9i s t Y r I D I l s
austurríki	9i s t Y r i c I
austurríkis	9i s t Y r i c I s
austurríkismenn	9i s t Y r i c I s m E n
austurríski	9i s t Y r i s c I
austurs	9i s t Y r_0 s
austurstræti	9i s t Y r_0 s t r ai t I
austurströnd	9i s t Y r_0 s t r 9 n t
austurvelli	9i s t Y r v E t l I
auðar	9i: D a r
auðblekkts	9i D p l E x t s
auðgert	9i D c E r_0 t
auðheyrilega	9i T h ei r I l E G a
auðheyrt	9i T h ei r_0 t
auði	9i: D I
auðið	9i: D I D
auðkenni	9i D c_h E n I
auðlegð	9i D l E G D
auðlind	9i D l I n t
auðlinda	9i D l I n t a
auðlindagjalds	9i D l I n t a c a l t s
auðlindanefnd	9i D l I n t a n E m t
auðlindanefndar	9i D l I n t a n E m t a r
auðlindanýtingar	9i D l I n t a n i t i N k a r
auðlindarentu	9i D l I n t a r E n_0 t Y
auðlindir	9i D l I n t I r
auðlindum	9i D l I n t Y m
auðmýking	9i D m i c i N k
auðmýkingu	9i D m i c i N k Y
auðmýkja	9i D m i c a
auðmýkt	9i D m i x t
auðna	9i D n a
auðugra	9i: D Y G r a
auðunn	9i: D Y n
auður	9i: D Y r
auðvaldsins	9i D v a l t s I n s
auðveld	9i D v E l t
auðvelda	9i D v E l t a
auðveldar	9i D v E l t a r
auðveldara	9i D v E l t a r a
auðveldlega	9i D v E l t l E G a
auðveldur	9i D v E l t Y r
auðvelt	9i D v E l_0 t
auðvitað	9i D v I t a D
auðæfi	9i: D ai v I
axarskaft	a k s a r_0 s k a f t
axarsköft	a k s a r_0 s k 9 f t
axel	a k s E l
axelsson	a k s E l s O n
axelssyni	a k s E l s I n I
axir	a k s I r
axla	a k s t l a
axlabönd	a k s t l a p 9 n t
axlarsprotar	a k s t l a r_0 s p r O t a r
axli	a k s t l I
axlirnar	a k s t l I r t n a r
aðal	a: D a l
aðalatriði	a: D a l a t r I D I
aðalbraut	a: D a l p r 9i t
aðalbyggingu	a: D a l p I c i N k Y
aðalbyggingunni	a: D a l p I c i N k Y n I
aðaleinkenni	a: D a l ei J c_h E n I
aðaleinkunn	a: D a l ei N_0 k Y n
aðalframkvæmdastjóri	a: D a l f r a m k_h v ai m t a s t j ou r I
aðalfréttirnar	a: D a l f r j E h t I r t n a r
aðalfulltrúar	a: D a l f Y t l_0 t_h r u a r
aðalfundardegi	a: D a l f Y n t a r t ei j I
aðalfundarstörf	a: D a l f Y n t a r_0 s t 9 r f
aðalfundarstörfum	a: D a l f Y n t a r_0 s t 9 r v Y m
aðalfundi	a: D a l f Y n t I
aðalfundur	a: D a l f Y n t Y r
aðalheiður	a: D a l h ei D Y r
aðalhlutverk	a: D a l_0 Y t v E r_0 k
aðalhlutverkin	a: D a l_0 Y t v E r_0 c I n
aðalhlutverkinu	a: D a l_0 Y t v E r_0 c I n Y
aðalhlutverkið	a: D a l_0 Y t v E r_0 c I D
aðalhlutverkum	a: D a l_0 Y t v E r_0 k Y m
aðalkostur	a: D a l k_h O s t Y r
aðalkröfu	a: D a l k_h r 9 v Y
aðalkvöldfréttatími	a: D a l k_h v 9 l t f r j E h t a t_h i m I
aðallandstjórans	a: D a l a n t s t j ou r a n s
aðallega	a: D a l E G a
aðalleit	a: D a l ei t
aðalleiðbeinandi	a: D a l ei D p ei n a n t I
aðalnámskrá	a: D a l n au m s k r au
aðalnámskránni	a: D a l n au m s k r au n I
aðalpersóna	a: D a l p_h E r_0 s ou n a
aðalpersónan	a: D a l p_h E r_0 s ou n a n
aðalpersónu	a: D a l p_h E r_0 s ou n Y
aðalpósthúsinu	a: D a l p_h ou s t_h u s I n Y
aðalsafnaðarfundur	a: D a l s a p n a D a r_0 f Y n t Y r
aðalsafninu	a: D a l s a p n I n Y
aðalsafnsins	a: D a l s a p n_0 s I n s
aðalskipulagi	a: D a l s c I p u l ai j I
aðalskipulaginu	a: D a l s c I p Y l ai j I n Y
aðalskipulags	a: D a l s c I p Y l a x s
aðalskrifstofa	a: D a l s k r I f s t O v a
aðalsmerki	a: D a l s m E r_0 c I
aðalstefnandi	a: D a l s t E p n a n t I
aðalstefnda	a: D a l s t E m t a
aðalstefndi	a: D a l s t E m t I
aðalsteinn	a: D a l s t ei t n_0
aðalsteinsdóttir	a: D a l s t ei n s t ou h t I r
aðalsteinsson	a: D a l s t ei n s O n
aðaltekjulindir	a: D a l t_h E c Y l I n t I r
aðalvandinn	a: D a l v a n t I n
aðalverki	a: D a l v E r_0 c I
aðalverktaka	a: D a l v E r_0 t_h a k a
aðalverktakar	a: D a l v E r_0 t_h a k a r
aðalverktökum	a: D a l v E r_0 t_h 9 k Y m
aðaláhugamál	a: D a l au h Y G a m au l
aðbúnað	a D p u n a D
aðdraganda	a D t r a G a n t a
aðdragandi	a D t r a G a n t I
aðdráttarafl	a D t r au h t a r a p l
aðdráttarlinsuna	a D t r au h t a r l I n s Y n a
aðdróttun	a D t r ou h t Y n
aðdáandi	a D t au a n t I
aðdáendaklúbbs	a D t au E n t a k_h l u p s
aðdáendur	a D t au E n t Y r
aðdáun	a D t au Y n
aðdáunarvert	a D t au Y n a r v E r_0 t
aðeins	a: D ei n s
aðfangadag	a D f au N k a t a G
aðfangadagur	a D f au N k a t a G Y r
aðfaranótt	a D f a r a n ou h t
aðferð	a D f E r D
aðferðafræði	a D f E r D a f r ai D I
aðferðin	a D f E r D I n
aðferðum	a D f E r D Y m
aðflugshallasendum	a D f l Y x s h a t l a s E n t Y m
aðframkomnir	a D f r a m k_h O m n I r
aðför	a D f 9 r
aðgang	a D k au N k
aðgangi	a D k au J c I
aðgangs	a D k au N s
aðgangsbox	a D k au N s p O k s
aðgangseyri	a D k au N s ei r I
aðgangseyrir	a D k au N s ei r I r
aðgangsharðir	a D k au N s h a r D I r
aðgangsorð	a D k au N s O r D
aðgangur	a D k au N k Y r
aðgengi	a D c ei J c I
aðgengileg	a D c ei J c I l E G
aðgengilega	a D c ei J c I l E G a
aðgengilegan	a D c ei J c I l E G a n
aðgengilegar	a D c ei J c I l E G a r
aðgengilegasta	a D c ei J c I l E G a s t a
aðgengilegir	a D c ei J c I l ei j I r
aðgengilegri	a D c ei J c I l E G r I
aðgengilegt	a D c ei J c I l E x t
aðgengilegum	a D c ei J c I l E G Y m
aðgerð	a D c E r D
aðgerða	a D c E r D a
aðgerðaáætlun	a D c E r D a au ai h t l Y n
aðgerðin	a D c E r D I n
aðgerðina	a D c E r D I n a
aðgerðir	a D c E r D I r
aðgerðum	a D c E r D Y m
aðgát	a D k au t
aðgætni	a D c ai h t n I
aðgöngumiða	a D k 9i N k Y m I D a
aðhalds	a D h a l t s
aðhaldssamur	a D h a l t s a m Y r
aðhlynningar	a D l_0 I n i N k a r
aðhylltist	a: D h I l_0 t I s t
aðila	a: D I l a
aðilar	a: D I l a r
aðild	a: D I l t
aðildar	a: D I l t a r
aðildarfyrirtækja	a: D I l t a r_0 f I r I r_0 t_h ai c a
aðildarlanda	a: D I l t a r l a n t a
aðildarríki	a: D I l t a r i c I
aðildarríkja	a: D I l t a r i c a
aðildarríkjum	a: D I l t a r i c Y m
aðildarríkjunum	a: D I l t a r i c O n Y m
aðildarviðræður	a: D I l t a r v I D r ai D Y r
aðili	a: D I l I
aðilum	a: D I l Y m
aðkallandi	a D k_h a t l a n t I
aðkasti	a D k_h a s t I
aðkoma	a D k_h O m a
aðkoman	a D k_h O m a n
aðkomu	a D k_h O m Y
aðkomumanna	a D k_h O m Y m a n a
aðkomumaður	a: D k_h O m Y m a D Y r
aðkomumenn	a D k_h O m Y m E n
aðkomunni	a D k_h O m Y n I
aðlaga	a D l a G a
aðlagast	a D l a G a s t
aðlaðandi	a D l a D a n t I
aðliggjandi	a D l I c a n t I
aðlögun	a D l 9 G Y n
aðra	a D r a
aðrar	a D r a r
aðrennslisgöng	a D r E n s t l I s k 9i N k
aðrir	a D r I r
aðsetur	a D s E t Y r
aðskilja	a D s c I l j a
aðskilnaður	a D s c I l n a D Y r
aðspurðra	a D s p Y r D r a
aðspurður	a D s p Y r D Y r
aðstandenda	a D s t a n t E n t a
aðstandendur	a D s t a n t E n t Y r
aðstaða	a D s t a D a
aðstaðan	a D s t a D a n
aðstoð	a D s t O D
aðstoða	a D s t O D a
aðstoðar	a D s t O D a r
aðstoðarforingja	a D s t O D a r_0 f O r i J c a
aðstoðarforstjóri	a D s t O D a r_0 f O r_0 s t j ou r I
aðstoðarforsætisráðherra	a D s t O D a r_0 f O r_0 s ai t I s r au T h E r a
aðstoðarframkvæmdastjóri	a D s t O D a r_0 f r a m k_h v ai m t a s t j ou r I
aðstoðarmanns	a D s t O D a r m a n s
aðstoðarmaður	a D s t O D a r m a D Y r
aðstoðarmaðurinn	a D s t O D a r m a D Y r I n
aðstoðarmenn	a D s t O D a r m E n
aðstoðarskólameistara	a D s t O D a r_0 s k ou l a m ei s t a r a
aðstoðarskólastjóri	a D s t O D a r_0 s k ou l a s t j ou r I
aðstoðaryfirlögregluþjónn	a D s t O D a r I v I r l 9 G r E k l Y T j ou t n_0
aðstoðarþjálfari	a D s t O D a r T j au l v a r I
aðstoðað	a D s t O D a D
aðstoðaði	a D s t O D a D I
aðstæðna	a D s t ai D n a
aðstæðum	a D s t ai D Y m
aðstæður	a D s t ai D Y r
aðstöðu	a D s t 9 D Y
aðsókn	a D s ou h k n
aðsóknar	a D s ou h k n a r
aðventukvöld	a D v E n_0 t Y k_h v 9 l t
aðventulag	a D v E n_0 t Y l a G
aðvörun	a D v 9 r Y n
aþena	a: T E n a
aþenu	a: T E n Y
badda	p a t a
bagaleg	p a: G a l E G
bagga	p a k a
baggalúti	p a k a l u t I
baggalúts	p a k a l u t s
baggalútur	p a k a l u t Y r
baggi	p a c I
bak	p a: k
baka	p a: k a
bakarí	p a: k a r i
bakað	p a: k a D
bakdyramegin	p a: k t I r a m ei j I n
bakgrunn	p a: k r Y n
bakhjarl	p a: k C a r t l
baki	p a: c I
bakinu	p a: c I n Y
bakið	p a: c I D
bakka	p a h k a
bakkabraut	p a h k a p r 9i t
bakkaflugvöll	p a h k a f l Y G v 9 t l_0
bakkaskjóls	p a h k a s c ou l s
bakkavör	p a h k a v 9 r
bakkelsi	p a h k E l s I
bakki	p a h c I
bakkinn	p a h c I n
bakkus	p a h k Y s
bakpoka	p a k p_h O k a
bakpoki	p a k p_h O c I
baksessunum	p a: k s E s O n Y m
bakstur	p a k s t Y r
baksvipinn	p a k s v I p I n
baktería	p a x t E r i j a
bakuggi	p a: k Y c I
bakvakt	p a: k v a x t
bakveröndinni	p a: k v E r 9 n t I n I
bakvið	p a: k v I D
bakvörður	p a: k v 9 r D Y r
bakvörðurinn	p a: k v 9 r D Y r I n
bakþanka	p a k T au N_0 k a
baldur	p a l t Y r
baldurs	p a l t Y r_0 s
baldursdóttir	p a l t Y r_0 s t ou h t I r
baldursson	p a l t Y r_0 s O n
bale	p ei: l
bali	p a: l I
balkanskaga	p a l_0 k a n s k a G a
ball	p a l
ballett	p a l E h t
ballettinn	p a l E h t I n
ballettsins	p a l E h t s I n s
balli	p a l I
ballið	p a l I D
balotelli	p a: l O t_h E l I
baltasar	p a l_0 t a s a r
bambus	p a m p Y s
bana	p a: n a
bananaekrur	p a: n a n a E k r Y r
banani	p a: n a n I
band	p a n t
bandalag	p a n t a l a G
bandalagi	p a n t a l ai j I
bandalags	p a n t a l a x s
bandalagsins	p a n t a l a x s I n s
bandamenn	p a n t a m E n
bandaríkin	p a n t a r i c I n
bandaríkjadala	p a n t a r i c a t a l a
bandaríkjadollara	p a n t a r i c a t O l a r a
bandaríkjaforseta	p a n t a r i c a f O r_0 s E t a
bandaríkjaforseti	p a n t a r i c a f O r_0 s E t I
bandaríkjahers	p a n t a r i c a h E r_0 s
bandaríkjamanna	p a n t a r i c a m a n a
bandaríkjamarkað	p a n t a r i c a m a r_0 k a D
bandaríkjamarkaði	p a n t a r i c a m a r_0 k a D I
bandaríkjamaðurinn	p a n t a r i c a m a D Y r I n
bandaríkjamönnum	p a n t a r i c a m 9 n Y m
bandaríkjanna	p a n t a r i c a n a
bandaríkjastjórnar	p a n t a r i c a s t j ou r t n a r
bandaríkjaþings	p a n t a r i c a T i N k s
bandaríkjunum	p a n t a r i c O n Y m
bandaríska	p a n t a r i s k a
bandaríski	p a n t a r i s c I
bandarískra	p a n t a r i s k r a
bandarískt	p a n t a r i s t
bandarísku	p a n t a r i s k Y
bandarískum	p a n t a r i s k Y m
bandarískur	p a n t a r i s k Y r
bandingi	p a n t i J c I
banginn	p au J c I n
bangladesh	p a N l a t E s
bangsa	p au N s a
bangsanum	p au N s a n Y m
bangsar	p au N s a r
bangsi	p au N s I
bangsinn	p au N s I n
bangsímon	p au N s i m O n
banhungruð	p a: n h u N k r Y D
bank	p au N_0 k
banka	p au N_0 k a
bankahrunið	p au N_0 k a r_0 Y n I D
bankahrunsins	p au N_0 k a r_0 Y n s I n s
bankakerfinu	p au N_0 k a c_h E r v I n Y
bankakerfisins	p au N_0 k a c_h E r v I s I n s
bankakerfið	p au N_0 k a c_h E r v I D
bankalánum	p au N_0 k a l au n Y m
bankamanna	p au N_0 k a m a n a
bankana	p au N_0 k a n a
bankann	p au N_0 k a n
bankanna	p au N_0 k a n a
bankans	p au N_0 k a n s
bankanum	p au N_0 k a n Y m
bankareikning	p au N_0 k a r ei h k n i N k
bankarán	p au N_0 k a r au n
bankaráð	p au N_0 k a r au D
bankastjóra	p au N_0 k a s t j ou r a
bankastjóri	p au N_0 k a s t j ou r I
bankastræti	p au N_0 k a s t r ai t I
bankaði	p au N_0 k a D I
bankaþjónusta	p au N_0 k a T j ou n Y s t a
bankaþjónustu	p au N_0 k a T j ou n Y s t Y
banki	p au J_0 c I
bankinn	p au J_0 c I n
banks	p au N_0 k s
bann	p a n
banna	p a n a
bannað	p a n a D
bannaðar	p a n a D a r
banni	p a n I
bannið	p a n I D
bar	p a: r
bara	p a: r a
bardaga	p a r t a G a
bardagaatriðin	p a r t a G a a t r I D I n
bardagann	p a r t a G a n
bardagi	p a r t ai j I
barentshafi	p a: r E n_0 t s h a v I
barkakýlið	p a r_0 k a c_h i l I D
barmafullt	p a r m a f Y l_0 t
barmhvelfdar	p a r m k_h v E l t a r
barn	p a r t n_0
barna	p a r t n a
barnabarn	p a r t n a p a r t n_0
barnabækur	p a r t n a p ai k Y r
barnabætur	p a r t n a p ai t Y r
barnabörn	p a r t n a p 9 r t n_0
barnabörnum	p a r t n a p 9 r t n Y m
barnabörnunum	p a r t n a p 9 r t n O n Y m
barnaefnið	p a r t n a E p n I D
barnaherbergi	p a r t n a h E r p E r c I
barnaherbergið	p a r t n a h E r_0 p E r c I D
barnakennarinn	p a r t n a c_h E n a r I n
barnalands	p a r t n a l a n t s
barnalegt	p a r t n a l E x t
barnalegur	p a r t n a l E G Y r
barnaleikur	p a r t n a l ei k Y r
barnalæknir	p a r t n a l ai h k n I r
barnapössun	p a r t n a p_h 9 s Y n
barnaskapur	p a r t n a s k a p Y r
barnaspítala	p a r t n a s p i t a l a
barnastarfs	p a r t n a s t a r f s
barnastóll	p a r t n a s t ou t l_0
barnavagni	p a r t n a v a k n I
barnaverndarnefnd	p a r t n a v E r n t a r n E m t
barnaverndarnefndar	p a r t n a v E r n t a r n E m t a r
barnaverndarstofu	p a r t n a v E r n t a r_0 s t O v Y
barnaverndinni	p a r t n a v E r n t I n I
barndómi	p a r t n_0 t ou m I
barnfæddur	p a r t n_0 f ai t Y r
barnfóstran	p a r t n_0 f ou s t r a n
barngóður	p a r t n_0 k ou D Y r
barninu	p a r t n I n Y
barnið	p a r t n I D
barnmörgum	p a r t n m 9 r k Y m
barns	p a r_0 s
barnsandlit	p a r_0 s a n t l I t
barnsbeini	p a r_0 s p ei n I
barnsburð	p a r_0 s p Y r D
barnsfaðir	p a r_0 s f a D I r
barnsförum	p a r_0 s f 9 r Y m
barnsföður	p a r_0 s f 9 D Y r
barnsgrát	p a r_0 s k r au t
barnshafandi	p a r_0 s h a v a n t I
barnsins	p a r_0 s I n s
barnsleg	p a r_0 s t l E G
barnslega	p a r_0 s t l E G a
barnslegri	p a r_0 s t l E G r I
barnslegt	p a r_0 s t l E x t
barnslegu	p a r_0 s t l E G Y
barnsmissis	p a r_0 s m I s I s
barnsmóður	p a r s m ou D Y r
barnsnauð	p a r_0 s t n 9i D
barnsskónum	p a r_0 s k ou n Y m
barr	p a r
barrtré	p a r t_h r j E
barry	p a r i
barst	p a r_0 s t
barstólnum	p a: r_0 s t ou l n Y m
barátta	p a: r au h t a
baráttan	p a: r au h t a n
baráttu	p a: r au h t Y
baráttumál	p a: r au h t Y m au l
baráttumálum	p a: r au h t Y m au l Y m
baráttuna	p a: r au h t Y n a
baráttusveitin	p a: r au h t Y s v ei t I n
baráttusveitina	p a: r au h t Y s v ei t I n a
baráttuvilja	p a: r au h t Y v I l j a
barðaströnd	p a r D a s t r 9 n t
barði	p a r D I
barðist	p a r D I s t
barón	p a: r ou n
barþjónn	p a r T j ou t n_0
basel	p a: s E l
basl	p a s t l
basla	p a s t l a
bassann	p a s a n
bassi	p a s I
bata	p a: t a
batavegi	p a: t a v ei j I
bati	p a: t I
batna	p a h t n a
batnandi	p a h t n a n t I
batnað	p a h t n a D
batnaðar	p a h t n a D a r
baugi	p 9i j I
baugur	p 9i: G Y r
bauk	p 9i: k
baukinn	p 9i: c I n
baul	p 9i: l
baula	p 9i: l a
baun	p 9i: n
baunabelgnum	p 9i: n a p E l n Y m
bauð	p 9i: D
bauðst	p 9i D s t
bayer	p ai: E r
bað	p a: D
baða	p a: D a
baðherbergi	p a D h E r p E r c I
baðkar	p a D k_h a r
baðkari	p a D k_h a r I
baðkarinu	p a D k_h a r I n Y
baðkarið	p a D k_h a r I D
baðker	p a D c_h E r
baðkerinu	p a D c_h E r I n Y
baðkerið	p a D c_h E r I D
baðst	p a D s t
baðstofustromps	p a D s t O v Y s t r O m_0 p s
beddann	p E t a n
been	p I n
begga	p E k a
beggi	p E c I
beggja	p E c a
beggu	p E k Y
beikon	p ei: k_h O n
bein	p ei: n
beina	p ei: n a
beinagrind	p ei: n a k r I n t
beinagrindinni	p ei: n a k r I n t I n I
beinagrindurnar	p ei: n a k r I n t Y r t n a r
beinakex	p ei: n a c_h E k s
beinan	p ei: n a n
beinar	p ei: n a r
beindi	p ei n t I
beindist	p ei n t I s t
beinhákarl	p ei n h au k_h a r t l_0
beini	p ei: n I
beinir	p ei: n I r
beinist	p ei: n I s t
beinlínis	p ei n l i n I s
beinmergs	p ei n m E r k s
beinn	p ei t n_0
beinna	p ei t n a
beinnar	p ei t n a r
beinni	p ei t n I
beinskipt	p ei n s c I f t
beinskiptan	p ei n s c I f t a n
beinst	p ei n s t
beint	p ei n_0 t
beinteinn	p ei n t_h ei t n_0
beinu	p ei: n Y
beinvernd	p ei: n v E r n t
beinverndardag	p ei n v E r n t a r t a G
beinverndarsamtakanna	p ei n v E r n t a r s a m t_h a k a n a
beisla	p ei s t l a
beisli	p ei s t l I
beit	p ei: t
beita	p ei: t a
beiti	p ei: t I
beitiland	p ei: t I l a n t
beitingu	p ei: t i N k Y
beitir	p ei: t I r
beitt	p ei h t
beittar	p ei h t a r
beitti	p ei h t I
beittu	p ei h t Y
beittur	p ei h t Y r
beiðni	p ei D n I
bekki	p E h c I
bekkina	p E h c I n a
bekkingar	p E h c i N k a r
bekkinn	p E h c I n
bekkirnir	p E h c I r t n I r
bekkja	p E h c a
bekkjar	p E h c a r
bekkjarbróðir	p E h c a r p r ou D I r
bekkjarfulltrúa	p E h c a r_0 f Y t l_0 t_h r u a
bekkjarkennara	p E h c a r_0 c_h E n a r a
bekkjarsystir	p E h c a r_0 s I s t I r
bekkjum	p E h c Y m
bekkjunum	p E h c O n Y m
bekkpressa	p E h k p_h r E s a
bekkur	p E h k Y r
belgía	p E l c i j a
belgíska	p E l c i s k a
belgíu	p E l c i j Y
bella	p E l a
belti	p E l_0 t I
beltinu	p E l_0 t I n Y
benda	p E n t a
bendingar	p E n t i N k a r
bendir	p E n t I r
benedikt	p E: n E t I x t
benedikts	p E: n E t I x t s
benediktsdóttir	p E: n E t I x t s t ou h t I r
benediktsdóttur	p E: n E t I x t s t ou h t Y r
benediktsson	p E: n E t I x t s O n
benediktssonar	p E: n E t I x t s O n a r
benediktssyni	p E: n E t I x t s I n I
benjamin	p E n t j a m I n
benjamín	p E n j a m i n
bensín	p E n s i n
bensíni	p E n s i n I
bensínstöð	p E n s i n s t 9 D
bent	p E n_0 t
benti	p E n_0 t I
bentu	p E n_0 t Y
ber	p E: r
bera	p E: r a
berg	p E r k
bergi	p E r c I
berglind	p E r k l I n t
bergmann	p E r k m a n
bergnuminn	p E r k n Y m I n
bergs	p E r k s
bergsson	p E r k s O n
bergssonar	p E r k s O n a r
bergssyni	p E r k s I n I
bergstallar	p E r k s t a t l a r
bergstaðastræti	p E r k s t a D a s t r ai t I
bergstein	p E r k s t ei n
bergsteinn	p E r k s t ei t n
bergsveinsson	p E r k s v ei n s O n
bergur	p E r k Y r
bergþór	p E r k T ou r
bergþóra	p E r k T ou r a
bergþórsdóttir	p E r k T ou r_0 s t ou h t I r
